Sample Name	QC_Pass	Exclude (non/duplicate sample)	Final_subset	Bird_Gross_Necropsy_ID	Plate Label - Site of isolation	collection_date	collection_year	Bird_Age	Farms_ID	Flock_ID	Host	Collection
AVC29	PASS	Include	No	448	digestive	11/6/2008	2008	NA	NA	NA	Poultry animal (variety unknown)	AVC
AVC30	PASS	Include	No	449	digestive	11/6/2008	2008	NA	NA	NA	Poultry animal (variety unknown)	AVC
AVC34	PASS	Include	No	450	mixed or systemic	11/7/2008	2008	NA	NA	NA	Turkey	AVC
AVC35	PASS	Include	No	451	mixed or systemic	11/7/2008	2008	NA	NA	NA	Turkey	AVC
AVC38	PASS	Include	No	452	digestive	18/7/2008	2008	NA	AVC_Farm_1	NA	Chicken	AVC
AVC39	PASS	Include	No	453	digestive	18/7/2008	2008	NA	AVC_Farm_1	NA	Chicken	AVC
AVC4	PASS	Include	No	454	cardiovascular	19/1/2007	2007	NA	NA	NA	Poultry animal (variety unknown)	AVC
AVC5	PASS	Include	No	455	digestive	7/3/2007	2007	NA	NA	NA	Poultry animal (variety unknown)	AVC
AVC51	PASS	Include	No	456	cardiovascular	14/8/2008	2008	NA	NA	NA	Poultry animal (variety unknown)	AVC
AVC58	PASS	Include	No	457	mixed or systemic	25/8/2008	2008	NA	NA	NA	Chicken	AVC
AVC59	PASS	Include	No	458	mixed or systemic	25/8/2008	2008	NA	NA	NA	Chicken	AVC
AVC60	PASS	Include	No	459	mixed or systemic	28/8/2008	2008	NA	NA	NA	Poultry animal (variety unknown)	AVC
AVC61	PASS	Include	No	460	mixed or systemic	28/8/2008	2008	NA	NA	NA	Poultry animal (variety unknown)	AVC
AVC64	PASS	Include	No	461	cardiovascular	3/9/2008	2008	NA	AVC_Farm_1	NA	Chicken	AVC
AVC65	PASS	Include	No	462	cardiovascular	3/9/2008	2008	NA	AVC_Farm_1	NA	Chicken	AVC
AVC7	PASS	Include	No	463	musculo-skeletal	13/7/2007	2007	NA	AVC_Farm_13	NA	Chicken	AVC
AVC77	PASS	Include	No	464	mixed or systemic	10/10/2008	2008	NA	NA	NA	Poultry animal (variety unknown)	AVC
AVC79	PASS	Include	No	465	mixed or systemic	14/10/2008	2008	NA	NA	NA	Turkey	AVC
AVC8	PASS	Include	No	466	cardiovascular	31/10/2007	2007	NA	NA	NA	Turkey	AVC
AVC80	PASS	Include	No	467	mixed or systemic	27/10/2008	2008	NA	NA	NA	Chicken	AVC
AVC91	PASS	Include	No	468	mixed or systemic	9/1/2009	2009	NA	AVC_Farm_5	NA	Poultry animal (variety unknown)	AVC
AVC94	PASS	Include	No	469	reproductive	9/1/2009	2009	NA	AVC_Farm_5	NA	Poultry animal (variety unknown)	AVC
AVC96	PASS	Include	No	470	mixed or systemic	9/1/2009	2009	NA	NA	NA	Chicken	AVC
AVC97	PASS	Include	No	471	mixed or systemic	9/1/2009	2009	NA	NA	NA	Chicken	AVC
AVC98	PASS	Include	No	472	mixed or systemic	14/1/2009	2009	NA	NA	NA	Chicken	AVC
